canonical_id,name_he,param_code,param_name,date,year,concentration,unit,is_below_lod,sample_id,lab,sample_depth_m,drinking_water_standard,percent_of_standard
מק_חולון_5,מק חולון 5,CHLORIDE AS CL,CHLORIDE AS CL,2010-06-10,2010,134.0,MG/L,False,,,,400.0,33.5
מק_חולון_5,מק חולון 5,NITRATE AS NO3,NITRATE AS NO3,2010-06-10,2010,47.0,MG/L,False,,,,70.0,67.14
מק_חולון_5,מק חולון 5,ALACHLOR,ALACHLOR,2010-06-15,2010,0.0,microgr/L,False,,,,4.0,0.0
מק_חולון_5,מק חולון 5,ALDICRAB,ALDICRAB,2010-06-15,2010,0.0,microgr/L,False,,,,,
מק_חולון_5,מק חולון 5,ALUMINUM,ALUMINUM,2010-06-15,2010,51.0,microgr/L,False,,,,200.0,25.5
מק_חולון_5,מק חולון 5,ARSENIC AS AS,ARSENIC AS AS,2010-06-15,2010,0.0,microgr/L,False,,,,10.0,0.0
מק_חולון_5,מק חולון 5,ATRAZINE,ATRAZINE,2010-06-15,2010,0.1,microgr/L,False,,,,2.0,5.0
מק_חולון_5,מק חולון 5,BARIUM AS BA,BARIUM AS BA,2010-06-15,2010,76.0,microgr/L,False,,,,1000.0,7.6
מק_חולון_5,מק חולון 5,BENZENE,BENZENE,2010-06-15,2010,0.0,microgr/L,False,,,,5.0,0.0
מק_חולון_5,מק חולון 5,BENZOPYRENE,BENZOPYRENE,2010-06-15,2010,0.0,microgr/L,False,,,,0.5,0.0
מק_חולון_5,מק חולון 5,CADMIUM AS CD,CADMIUM AS CD,2010-06-15,2010,0.0,microgr/L,False,,,,5.0,0.0
מק_חולון_5,מק חולון 5,CALCIUM AS CA,CALCIUM AS CA,2010-06-15,2010,108.0,MG/L,False,,,,80.0,135.0
מק_חולון_5,מק חולון 5,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2010-06-15,2010,0.0,microgr/L,False,,,,4.0,0.0
מק_חולון_5,מק חולון 5,CHLORDANE,CHLORDANE,2010-06-15,2010,0.0,microgr/L,False,,,,1.0,0.0
מק_חולון_5,מק חולון 5,CHLOROFORM,CHLOROFORM,2010-06-15,2010,0.0,microgr/L,False,,,,80.0,0.0
מק_חולון_5,מק חולון 5,CHROMIUM AS CR,CHROMIUM AS CR,2010-06-15,2010,3.0,microgr/L,False,,,,50.0,6.0
מק_חולון_5,מק חולון 5,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2010-06-15,2010,0.0,microgr/L,False,,,,50.0,0.0
מק_חולון_5,מק חולון 5,COBALT AS CO,COBALT AS CO,2010-06-15,2010,0.0,microgr/L,False,,,,,
מק_חולון_5,מק חולון 5,COPPER AS CU,COPPER AS CU,2010-06-15,2010,3.0,microgr/L,False,,,,1400.0,0.21
מק_חולון_5,מק חולון 5,DDT,DDT,2010-06-15,2010,0.0,microgr/L,False,,,,1.0,0.0
מק_חולון_5,מק חולון 5,"DIBROMO-3-CHLOROPROPA1,2 NE","DIBROMO-3-CHLOROPROPA1,2 NE",2010-06-15,2010,0.0,microgr/L,False,,,,0.3,0.0
מק_חולון_5,מק חולון 5,"DICHLOR BENZEN 1,2","DICHLOR BENZEN 1,2",2010-06-15,2010,0.0,microgr/L,False,,,,600.0,0.0
מק_חולון_5,מק חולון 5,"DICHLOROBENZEN 1,4","DICHLOROBENZEN 1,4",2010-06-15,2010,0.0,microgr/L,False,,,,75.0,0.0
מק_חולון_5,מק חולון 5,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2010-06-15,2010,0.0,microgr/L,False,,,,4.0,0.0
מק_חולון_5,מק חולון 5,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2010-06-15,2010,1.4,microgr/L,False,,,,10.0,14.0
מק_חולון_5,מק חולון 5,"DICHLOROPHENOXY ACETI2,4 C ACID","DICHLOROPHENOXY ACETI2,4 C ACID",2010-06-15,2010,0.0,microgr/L,False,,,,30.0,0.0
מק_חולון_5,מק חולון 5,Dieldrin,Dieldrin,2010-06-15,2010,0.0,microgr/L,False,,,,0.05,0.0
מק_חולון_5,מק חולון 5,ENDRIN,ENDRIN,2010-06-15,2010,0.0,microgr/L,False,,,,2.0,0.0
מק_חולון_5,מק חולון 5,ETHYL BENZENE,ETHYL BENZENE,2010-06-15,2010,0.0,microgr/L,False,,,,300.0,0.0
מק_חולון_5,מק חולון 5,ETHYLENE DI BROMIDE,ETHYLENE DI BROMIDE,2010-06-15,2010,0.0,microgr/L,False,,,,0.05,0.0
מק_חולון_5,מק חולון 5,FORMALDEHYDE,FORMALDEHYDE,2010-06-15,2010,0.0,microgr/L,False,,,,900.0,0.0
מק_חולון_5,מק חולון 5,HEPTACHLOR,HEPTACHLOR,2010-06-15,2010,0.0,microgr/L,False,,,,0.4,0.0
