borehole_id,parameter,n,n5,has_detection,mk_z_5y,mk_p_5y,mk_z_full,mk_p_full,snr_5y,snr_full,analysis_mode,classification,trend_description,crossed_standard,drinking_water_standard
raanana_nd_paz_hanofer,BENZ,14,4,True,0,1,0.706698,0.479754,0.203888,,5y,NONE,Insufficient signal for trend assessment (SNR below threshold),True,5
raanana_nd_paz_hanofer,DO,14,4,True,0,1,-2.13826,0.0324959,0.58004,,5y,STABLE,No significant trend (p=1.000); Mann-Kendall Z=0.00,False,
raanana_nd_paz_hanofer,EC,2,0,True,,,,,,,none,NONE,,False,
raanana_nd_paz_hanofer,ECFD,12,4,True,-0.339683,0.734095,-0.549875,0.582405,1.58359,,5y,STABLE,No significant trend (p=0.734); Mann-Kendall Z=-0.34,False,
raanana_nd_paz_hanofer,ETBN,14,4,True,0,1,1.41377,0.15743,1,,5y,STABLE,No significant trend (p=1.000); Mann-Kendall Z=0.00,False,300
raanana_nd_paz_hanofer,MTBE,14,4,True,-0.722315,0.470101,0.91716,0.359059,1.06595,,5y,STABLE,No significant trend (p=0.470); Mann-Kendall Z=-0.72,False,40
raanana_nd_paz_hanofer,ORP,14,4,True,1.01905,0.30818,1.15137,0.24958,1.57548,,5y,STABLE,No significant trend (p=0.308); Mann-Kendall Z=1.02,False,
raanana_nd_paz_hanofer,PHFD,14,4,True,1.1619,0.245278,1.08498,0.277932,1.73205,,5y,STABLE,No significant trend (p=0.245); Mann-Kendall Z=1.16,False,
raanana_nd_paz_hanofer,T,14,4,True,0,1,0.109819,0.912553,0.729026,,5y,STABLE,No significant trend (p=1.000); Mann-Kendall Z=0.00,False,
raanana_nd_paz_hanofer,TOLU,14,4,True,0,1,0.473326,0.635981,1,,5y,STABLE,No significant trend (p=1.000); Mann-Kendall Z=0.00,False,700
raanana_nd_paz_hanofer,TUF,3,0,True,,,,,,,none,NONE,,True,1
raanana_nd_paz_hanofer,TURB,11,4,True,0.722315,0.470101,-3.13304,0.00173005,1.22474,,5y,STABLE,No significant trend (p=0.470); Mann-Kendall Z=0.72,True,1
raanana_nd_paz_hanofer,XYLE,14,4,True,0,1,0.749723,0.453422,1,,5y,STABLE,No significant trend (p=1.000); Mann-Kendall Z=0.00,False,500
raanana_nd_turbine,24DNT,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,26DNT,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,6:2FT,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,82FTS,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,ACET,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,BENZ,5,1,True,,,0.353553,0.723674,0,0.745356,full_record,STABLE,No significant trend (p=0.724); Mann-Kendall Z=0.35 (full record — 5-year window insufficient),False,5
raanana_nd_turbine,BRBNZ,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,BRMET,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,CCL4,1,1,False,,,,,,,none,NONE,,False,4
raanana_nd_turbine,CDCE,1,1,False,,,,,,,none,NONE,,False,50
raanana_nd_turbine,CHLET,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,CHLF,1,1,False,,,,,,,none,NONE,,False,80
raanana_nd_turbine,CHLMT,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,DBR3C,1,1,False,,,,,,,none,NONE,,False,0.3
raanana_nd_turbine,DBRM,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,DBRMT,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,DCB13,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,DCBM,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,DCET,1,1,False,,,,,,,none,NONE,,False,4
raanana_nd_turbine,DCET1,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,DCEY,1,1,False,,,,,,,none,NONE,,False,10
raanana_nd_turbine,DCHP1,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,DCPN,1,1,False,,,,,,,none,NONE,,False,5
raanana_nd_turbine,DO,6,2,True,,,-1.1272,0.259656,0,1.47122,full_record,STABLE,No significant trend (p=0.260); Mann-Kendall Z=-1.13 (full record — 5-year window insufficient),False,
raanana_nd_turbine,EC,1,0,True,,,,,,,none,NONE,,False,
raanana_nd_turbine,ECFD,5,2,True,,,0.734847,0.462433,0,1.58626,full_record,STABLE,No significant trend (p=0.462); Mann-Kendall Z=0.73 (full record — 5-year window insufficient),False,
raanana_nd_turbine,ETBN,5,1,True,,,0.353553,0.723674,0,0.745356,full_record,STABLE,No significant trend (p=0.724); Mann-Kendall Z=0.35 (full record — 5-year window insufficient),False,300
raanana_nd_turbine,ETDB,1,1,False,,,,,,,none,NONE,,False,0.05
raanana_nd_turbine,FORM,1,1,False,,,,,,,none,NONE,,False,900
raanana_nd_turbine,FOSA,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,MCBZ,1,1,False,,,,,,,none,NONE,,False,100
raanana_nd_turbine,MDCB,1,1,False,,,,,,,none,NONE,,False,600
raanana_nd_turbine,METCH,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,MOL,1,0,True,,,,,,,none,NONE,,False,
raanana_nd_turbine,MTBE,5,1,True,,,0.353553,0.723674,0,0.745356,full_record,STABLE,No significant trend (p=0.724); Mann-Kendall Z=0.35 (full record — 5-year window insufficient),False,40
raanana_nd_turbine,NAPT,1,1,False,,,,,,,none,NONE,,False,10
raanana_nd_turbine,ORP,4,2,True,,,0.339683,0.734095,0,1.70143,full_record,STABLE,No significant trend (p=0.734); Mann-Kendall Z=0.34 (full record — 5-year window insufficient),False,
raanana_nd_turbine,PDCB,1,1,False,,,,,,,none,NONE,,False,75
raanana_nd_turbine,PFBA,1,1,True,,,,,,,none,NONE,,False,0.1
raanana_nd_turbine,PFBS,1,1,True,,,,,,,none,NONE,,False,0.1
raanana_nd_turbine,PFDA,1,1,False,,,,,,,none,NONE,,False,0.1
raanana_nd_turbine,PFDS,1,1,False,,,,,,,none,NONE,,False,0.1
raanana_nd_turbine,PFDoA,1,1,False,,,,,,,none,NONE,,False,0.1
raanana_nd_turbine,PFHpA,1,1,True,,,,,,,none,NONE,,False,0.1
raanana_nd_turbine,PFHpS,1,1,False,,,,,,,none,NONE,,False,0.1
raanana_nd_turbine,PFHxA,1,1,True,,,,,,,none,NONE,,True,0.1
raanana_nd_turbine,PFHxS,1,1,True,,,,,,,none,NONE,,True,0.1
raanana_nd_turbine,PFNA,1,1,False,,,,,,,none,NONE,,False,0.1
raanana_nd_turbine,PFOA,1,1,True,,,,,,,none,NONE,,True,0.1
raanana_nd_turbine,PFOS,1,1,False,,,,,,,none,NONE,,False,0.1
raanana_nd_turbine,PFPeA,1,1,True,,,,,,,none,NONE,,True,0.1
raanana_nd_turbine,PFUnA,1,1,False,,,,,,,none,NONE,,False,0.1
raanana_nd_turbine,PHFD,6,2,True,,,1.72146,0.0851679,0,1.74983,full_record,INCREASING,Rising trend (p=0.085); Mann-Kendall Z=1.72 (full record — 5-year window insufficient),False,
raanana_nd_turbine,STYR,1,1,False,,,,,,,none,NONE,,False,50
raanana_nd_turbine,T,6,2,True,,,-0.751469,0.45237,0,0.967258,full_record,STABLE,No significant trend (p=0.452); Mann-Kendall Z=-0.75 (full record — 5-year window insufficient),False,
raanana_nd_turbine,TCEN,1,1,False,,,,,,,none,NONE,,False,5
raanana_nd_turbine,TCET,1,1,False,,,,,,,none,NONE,,False,200
raanana_nd_turbine,TCEY,1,1,False,,,,,,,none,NONE,,False,7.5
raanana_nd_turbine,TDCE,1,1,False,,,,,,,none,NONE,,False,50
raanana_nd_turbine,TEC12,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,TEC22,1,1,False,,,,,,,none,NONE,,False,
raanana_nd_turbine,TOLU,5,1,True,,,0.353553,0.723674,0,0.745356,full_record,STABLE,No significant trend (p=0.724); Mann-Kendall Z=0.35 (full record — 5-year window insufficient),False,700
raanana_nd_turbine,TPH,3,1,True,,,,,,,none,NONE,,False,
raanana_nd_turbine,TRBN3,1,1,False,,,,,,,none,NONE,,False,
