canonical_id,name_he,param_code,param_name,date,year,concentration,unit,is_below_lod,sample_id,lab,sample_depth_m,drinking_water_standard,percent_of_standard
raanana_p_25,פ רעננה 25,ALAC,ALACHLOR,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,4.0,0.0
raanana_p_25,פ רעננה 25,ALCB,ALDICRAB,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,,
raanana_p_25,פ רעננה 25,ALDSU,Aldicarb sulfon,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,,
raanana_p_25,פ רעננה 25,ALSD,Aldicarb sulfoxide,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,,
raanana_p_25,פ רעננה 25,ATRA,ATRAZINE,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,2.0,0.0
raanana_p_25,פ רעננה 25,BENZ,BENZENE,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,5.0,0.0
raanana_p_25,פ רעננה 25,BEPT,BIS (2-ETHYLHEXYL) PHTALATE,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,8.0,0.0
raanana_p_25,פ רעננה 25,BNZP,BENZOPYRENE,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,0.5,0.0
raanana_p_25,פ רעננה 25,BRMC,BROMACIL,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,,
raanana_p_25,פ רעננה 25,CARBO,CARBOMAZEPIN,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,,
raanana_p_25,פ רעננה 25,CCL4,CARBON TETRACHLORIDE,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,4.0,0.0
raanana_p_25,פ רעננה 25,CDCE,"CIS 1,2 DICHLOROETHYLENE",2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,50.0,0.0
raanana_p_25,פ רעננה 25,CHLF,CHLOROFORM,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,80.0,0.0
raanana_p_25,פ רעננה 25,CLDN,CHLORDANE,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,1.0,0.0
raanana_p_25,פ רעננה 25,CLPF,CHLORPYRIFOS,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,,
raanana_p_25,פ רעננה 25,DBCP,"DIBROMO-3-CHLOROPROPA1,2 NE",2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,0.3,0.0
raanana_p_25,פ רעננה 25,DCET,"DICHLOROETHANE1,2",2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,4.0,0.0
raanana_p_25,פ רעננה 25,DCEY,"DICHLOROETHYLENE 1,1",2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,10.0,0.0
raanana_p_25,פ רעננה 25,DCLM,DICHLOROMETHANE,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,5.0,0.0
raanana_p_25,פ רעננה 25,DCPA,"DICHLOROPHENOXY ACETI2,4 C ACID",2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,30.0,0.0
raanana_p_25,פ רעננה 25,DCPN,"1,2-dichloropropane",2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,5.0,0.0
raanana_p_25,פ רעננה 25,ETBN,ETHYL BENZENE,2019-02-25,2019,0.0,microgr/L,False,1350945.0,משרד הבריאותאבוכביר,,300.0,0.0
