canonical_well_id,parameter_canonical,last_measurement_date,is_active,reason_if_inactive,n_measurements_total,n_measurements_last_5y,coverage_note
יו_מקוה_ישראל_29/2,CALCIUM AS CA,2016-02-09,false,closed,1,0,No recent measurements
יו_מקוה_ישראל_29/2,CHLORIDE AS CL,2020-05-12,false,closed,2,0,No recent measurements
יו_מקוה_ישראל_29/2,MAGNESIUM AS MG,2016-02-09,false,closed,1,0,No recent measurements
יו_מקוה_ישראל_29/2,NITRATE AS NO3,2020-05-12,false,closed,2,0,No recent measurements
יו_מקוה_ישראל_29/2,POTASSIUM AS K,2016-02-09,false,closed,1,0,No recent measurements
יו_מקוה_ישראל_29/2,SODIUM AS NA,2016-02-09,false,closed,1,0,No recent measurements
יו_מקוה_ישראל_29/2,SULFATE AS SO4,2016-02-09,false,closed,1,0,No recent measurements
מק_חולון_12,CHLORIDE AS CL,2025-04-21,true,,21,4,Only 4 measurements in 5y window
מק_חולון_12,NITRATE AS NO3,2025-04-21,true,,20,4,Only 4 measurements in 5y window
מק_חולון_12,ARSENIC AS AS,2021-04-20,true,,5,0,No recent measurements
מק_חולון_12,BARIUM AS BA,2021-04-20,true,,5,0,No recent measurements
מק_חולון_12,BICARBONATE AS HCO3,2021-04-20,true,,4,0,No recent measurements
מק_חולון_12,CADMIUM AS CD,2021-04-20,true,,5,0,No recent measurements
מק_חולון_12,CALCIUM AS CA,2021-04-20,true,,4,0,No recent measurements
מק_חולון_12,CHROMIUM AS CR,2021-04-20,true,,5,0,No recent measurements
מק_חולון_12,COBALT AS CO,2013-07-11,true,,2,0,No recent measurements
מק_חולון_12,COPPER AS CU,2021-04-20,true,,5,0,No recent measurements
מק_חולון_12,DETERGENTS AS LAS,2021-04-20,true,,4,0,No recent measurements
מק_חולון_12,IRON TOTAL AS FE,2021-04-20,true,,5,0,No recent measurements
מק_חולון_12,LEAD AS PB,2021-04-20,true,,5,0,No recent measurements
מק_חולון_12,MAGNESIUM AS MG,2021-04-20,true,,4,0,No recent measurements
מק_חולון_12,MANGANESE TOTAL AS MN,2021-04-20,true,,5,0,No recent measurements
מק_חולון_12,NICKEL AS NI,2021-04-20,true,,5,0,No recent measurements
מק_חולון_12,PHENOLS AS C6H5OH,2011-06-20,true,,2,0,No recent measurements
מק_חולון_12,POTASSIUM AS K,2021-04-20,true,,4,0,No recent measurements
מק_חולון_12,SELENIUM AS SE,2021-04-20,true,,5,0,No recent measurements
מק_חולון_12,SODIUM AS NA,2021-04-20,true,,4,0,No recent measurements
