canonical_well_id,original_well_name,well_type,zone_scope_source,parameter_canonical,parameter_original,unit_original,unit_standardized,dws_value,result_value,result_date,result_qualifier,source_file,source_row_or_page
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,CHLORIDE AS CL,CHLORIDE AS CL,MG/L,µg/L,400.0,134.0,2010-06-10,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,NITRATE AS NO3,NITRATE AS NO3,MG/L,µg/L,70.0,47.0,2010-06-10,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,ARSENIC AS AS,ARSENIC AS AS,microgr/L,µg/L,10.0,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,BARIUM AS BA,BARIUM AS BA,microgr/L,µg/L,1000.0,76.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,BENZENE,BENZENE,microgr/L,µg/L,5.0,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,CADMIUM AS CD,CADMIUM AS CD,microgr/L,µg/L,5.0,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,CALCIUM AS CA,CALCIUM AS CA,MG/L,µg/L,80.0,108.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,microgr/L,µg/L,4.0,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,CHLOROFORM,CHLOROFORM,microgr/L,µg/L,80.0,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,CHROMIUM AS CR,CHROMIUM AS CR,microgr/L,µg/L,50.0,3.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",microgr/L,µg/L,50.0,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,COBALT AS CO,COBALT AS CO,microgr/L,µg/L,,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,COPPER AS CU,COPPER AS CU,microgr/L,µg/L,1400.0,3.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,"DIBROMO-3-CHLOROPROPA1,2 NE","DIBROMO-3-CHLOROPROPA1,2 NE",microgr/L,µg/L,0.3,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,"DICHLOROBENZEN 1,4","DICHLOROBENZEN 1,4",microgr/L,µg/L,75.0,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",microgr/L,µg/L,4.0,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",microgr/L,µg/L,10.0,1.4,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,"DICHLOROPHENOXY ACETI2,4 C ACID","DICHLOROPHENOXY ACETI2,4 C ACID",microgr/L,µg/L,30.0,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,ETHYL BENZENE,ETHYL BENZENE,microgr/L,µg/L,300.0,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,ETHYLENE DI BROMIDE,ETHYLENE DI BROMIDE,microgr/L,µg/L,0.05,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,IRON TOTAL AS FE,IRON TOTAL AS FE,microgr/L,µg/L,1000.0,44.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,LEAD AS PB,LEAD AS PB,microgr/L,µg/L,10.0,0.0,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,MAGNESIUM AS MG,MAGNESIUM AS MG,MG/L,µg/L,150.0,25.3,2010-06-15,=,Holon_current_monitoring_2024,
מק_חולון_5,מק חולון 5,monitoring,Holon_main_industrial,MANGANESE TOTAL AS MN,MANGANESE TOTAL AS MN,microgr/L,µg/L,200.0,8.0,2010-06-15,=,Holon_current_monitoring_2024,
