canonical_well_id,parameter_canonical,mann_kendall_z,mann_kendall_p,snr,soft_trigger_met,trend_classification,n_measurements,time_span_years,notes
מק_חולון_12,ALUMINUM,,,0.0,0,DECREASING,1,5.0,Low measurement count
מק_חולון_12,BARIUM AS BA,,,0.0,0,NONE,1,5.0,Low measurement count
מק_חולון_12,BICARBONATE AS HCO3,,,0.0,0,STABLE,1,5.0,Low measurement count
מק_חולון_12,CALCIUM AS CA,,,0.0,0,NONE,1,5.0,Low measurement count
מק_חולון_12,CHLORIDE AS CL,2.20454,0.0274863,1.27078,0,INCREASING,5,5.0,
מק_חולון_12,CHROMIUM AS CR,,,0.0,0,STABLE,1,5.0,Low measurement count
מק_חולון_12,COPPER AS CU,,,0.0,0,STABLE,1,5.0,Low measurement count
מק_חולון_12,FIELD ELECTRICAL CONDUCTIVITY,0.0,1.0,1.06682,0,STABLE,4,5.0,Low measurement count
מק_חולון_12,FIELD TURBIDITY,0.84763,0.396644,0.314721,0,STABLE,46,5.0,
מק_חולון_12,IRON TOTAL AS FE,,,0.0,0,STABLE,1,5.0,Low measurement count
מק_חולון_12,Lab EC comp to 25 C DEGR,1.71464,0.0864107,1.39952,0,INCREASING,5,5.0,
מק_חולון_12,MAGNESIUM AS MG,,,0.0,0,NONE,1,5.0,Low measurement count
מק_חולון_12,MANGANESE TOTAL AS MN,,,0.0,0,NONE,1,5.0,Low measurement count
מק_חולון_12,NITRATE AS NO3,1.30558,0.191695,1.39272,0,STABLE,5,5.0,
מק_חולון_12,PH MEASURED  IN FIELD,-0.734847,0.462433,0.785191,0,STABLE,5,5.0,
מק_חולון_12,POTASSIUM AS K,,,0.0,0,NONE,1,5.0,Low measurement count
מק_חולון_12,SODIUM AS NA,,,0.0,0,NONE,1,5.0,Low measurement count
מק_חולון_12,SULFATE AS SO4,,,0.0,0,NONE,1,5.0,Low measurement count
מק_חולון_12,TEMPERATURE CENTIGRADE,-0.339683,0.734095,0.911732,0,STABLE,4,5.0,Low measurement count
מק_חולון_12,TOT.COLIF.MF PROCED,0.192524,0.847331,0.333333,0,STABLE,36,5.0,
מק_חולון_12,TOTAL ORGANIC CARBON,0.288675,0.77283,0.30429,0,STABLE,5,5.0,
מק_חולון_12,UV ABSORB AT 254 NM,-0.353553,0.723674,1.11803,0,STABLE,5,5.0,
מק_חולון_12,ZINC AS ZN,,,0.0,0,DECREASING,1,5.0,Low measurement count
מק_חולון_14,ALUMINUM,,,0.0,0,DECREASING,1,5.0,Low measurement count
מק_חולון_14,ARSENIC AS AS,,,0.0,0,INCREASING,1,5.0,Low measurement count
מק_חולון_14,BARIUM AS BA,,,0.0,0,STABLE,1,5.0,Low measurement count
מק_חולון_14,CALCIUM AS CA,,,0.0,0,INCREASING,1,5.0,Low measurement count
מק_חולון_14,CARBON TETRACHLORIDE,-3.19652,0.00139095,1.0974,0,DECREASING,16,5.0,
מק_חולון_14,CHLORIDE AS CL,0.0,1.0,0.0,0,NONE,7,5.0,
מק_חולון_14,CHROMIUM AS CR,,,0.0,0,STABLE,1,5.0,Low measurement count
מק_חולון_14,COPPER AS CU,,,0.0,0,STABLE,1,5.0,Low measurement count
מק_חולון_14,"DICHLOROETHYLENE 1,1",-0.844389,0.398452,0.558236,0,STABLE,15,5.0,
מק_חולון_14,DICHLOROMETHANE,,,0.0,0,NONE,6,5.0,
